id_student,code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
630999,BBB,2014B,F,South West Region,A Level or Equivalent,90-100%,0-35,0,120,N,Withdrawn
631031,BBB,2014B,F,Scotland,HE Qualification,30-40%,35-55,0,60,N,Withdrawn
631082,BBB,2014B,F,North Western Region,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn
631190,BBB,2014B,M,North Western Region,Lower Than A Level,0-10%,0-35,0,120,Y,Withdrawn
631197,BBB,2014B,F,North Western Region,A Level or Equivalent,10-20,0-35,0,60,Y,Withdrawn
631354,BBB,2014B,F,South West Region,A Level or Equivalent,10-20,0-35,0,120,N,Withdrawn
631422,BBB,2014B,F,Scotland,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn
631444,BBB,2014B,F,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
631518,BBB,2014B,F,East Anglian Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn
631561,BBB,2014B,F,West Midlands Region,A Level or Equivalent,10-20,0-35,0,60,Y,Withdrawn
631610,BBB,2014B,F,East Midlands Region,A Level or Equivalent,0-10%,35-55,0,60,N,Withdrawn
631941,BBB,2014B,F,London Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn
632181,BBB,2014B,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn
632447,BBB,2014B,F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn
632574,BBB,2014B,F,East Midlands Region,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn
632605,BBB,2014B,F,South Region,A Level or Equivalent,20-30%,0-35,0,120,N,Withdrawn
632618,BBB,2014B,F,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,120,N,Withdrawn
632847,BBB,2014B,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,60,N,Withdrawn
632911,BBB,2014B,F,South East Region,A Level or Equivalent,60-70%,35-55,0,60,N,Withdrawn
633052,BBB,2014B,F,Ireland,Lower Than A Level,30-40%,0-35,0,60,N,Withdrawn
633378,BBB,2014B,F,North Western Region,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn
633462,BBB,2014B,F,South East Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn
633599,BBB,2014B,F,West Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn
633613,BBB,2014B,F,East Anglian Region,Lower Than A Level,20-30%,35-55,0,60,N,Withdrawn
633883,BBB,2014B,M,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn
633900,BBB,2014B,F,South Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn
633912,BBB,2014B,F,East Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,Withdrawn
634164,BBB,2014B,F,East Midlands Region,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn
634298,BBB,2014B,M,Yorkshire Region,Lower Than A Level,0-10%,35-55,0,60,Y,Withdrawn
634373,BBB,2014B,F,Scotland,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn
634396,BBB,2014B,F,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Withdrawn
634428,BBB,2014B,M,South East Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn
634486,BBB,2014B,F,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,Withdrawn
635777,BBB,2014B,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn
635793,BBB,2014B,F,Wales,Lower Than A Level,0-10%,35-55,0,60,Y,Withdrawn
1108120,BBB,2014B,F,East Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Withdrawn
1453691,BBB,2014B,F,South East Region,A Level or Equivalent,10-20,35-55,0,60,N,Withdrawn
1536591,BBB,2014B,F,London Region,Lower Than A Level,10-20,35-55,1,120,N,Withdrawn
1560989,BBB,2014B,F,Scotland,HE Qualification,0-10%,35-55,0,60,Y,Withdrawn
1588208,BBB,2014B,F,North Western Region,Lower Than A Level,70-80%,35-55,1,120,N,Withdrawn
1933555,BBB,2014B,F,South West Region,HE Qualification,60-70%,35-55,2,60,N,Withdrawn
1969081,BBB,2014B,F,South Region,Lower Than A Level,,35-55,0,60,N,Withdrawn
2034455,BBB,2014B,F,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn
2052966,BBB,2014B,M,South East Region,Lower Than A Level,80-90%,35-55,2,120,N,Withdrawn
2184026,BBB,2014B,F,London Region,Lower Than A Level,20-30%,35-55,5,60,Y,Withdrawn
2230457,BBB,2014B,F,South Region,Lower Than A Level,40-50%,0-35,0,60,Y,Withdrawn
2246708,BBB,2014B,F,South East Region,A Level or Equivalent,60-70%,35-55,0,60,Y,Withdrawn
2273828,BBB,2014B,F,North Western Region,A Level or Equivalent,10-20,0-35,1,60,N,Withdrawn
2277941,BBB,2014B,F,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn
2300911,BBB,2014B,F,South West Region,Lower Than A Level,70-80%,35-55,2,180,N,Withdrawn
2315082,BBB,2014B,F,Ireland,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn
2351235,BBB,2014B,F,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Withdrawn
2353787,BBB,2014B,M,East Midlands Region,Lower Than A Level,40-50%,35-55,1,60,N,Withdrawn
2363561,BBB,2014B,F,East Anglian Region,Lower Than A Level,20-30%,0-35,1,90,N,Withdrawn
2372088,BBB,2014B,F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,Withdrawn
2409808,BBB,2014B,F,West Midlands Region,Lower Than A Level,60-70%,35-55,4,120,N,Withdrawn
2410331,BBB,2014B,F,West Midlands Region,Lower Than A Level,0-10%,35-55,2,60,Y,Withdrawn
2417841,BBB,2014B,F,South West Region,Lower Than A Level,0-10%,35-55,0,60,Y,Withdrawn
2421428,BBB,2014B,F,East Midlands Region,Lower Than A Level,90-100%,35-55,0,60,N,Withdrawn
2437062,BBB,2014B,F,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn
2438291,BBB,2014B,F,London Region,A Level or Equivalent,10-20,35-55,0,120,N,Withdrawn
2439442,BBB,2014B,F,North Western Region,Lower Than A Level,20-30%,0-35,0,150,N,Withdrawn
2444501,BBB,2014B,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,120,Y,Withdrawn
2482994,BBB,2014B,F,South Region,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn
2494258,BBB,2014B,F,East Anglian Region,A Level or Equivalent,10-20,0-35,0,120,N,Withdrawn
2509297,BBB,2014B,F,London Region,HE Qualification,0-10%,0-35,1,240,N,Withdrawn
2512349,BBB,2014B,F,Yorkshire Region,Lower Than A Level,40-50%,35-55,0,60,N,Withdrawn
2523430,BBB,2014B,F,London Region,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn
2538123,BBB,2014B,F,East Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn
2552149,BBB,2014B,F,North Western Region,Lower Than A Level,80-90%,35-55,0,60,N,Withdrawn
2567352,BBB,2014B,F,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn
2578704,BBB,2014B,F,South East Region,A Level or Equivalent,10-20,35-55,0,120,N,Withdrawn
2605113,BBB,2014B,F,North Region,No Formal quals,10-20,0-35,1,60,N,Withdrawn
2609574,BBB,2014B,M,West Midlands Region,Lower Than A Level,20-30%,0-35,0,60,Y,Withdrawn
2626511,BBB,2014B,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,60,Y,Withdrawn
2632243,BBB,2014B,F,South Region,A Level or Equivalent,80-90%,0-35,0,120,N,Withdrawn
2634946,BBB,2014B,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,180,N,Withdrawn
2677541,BBB,2014B,F,Wales,Lower Than A Level,50-60%,0-35,0,75,N,Withdrawn
2687644,BBB,2014B,M,South West Region,Lower Than A Level,10-20,35-55,1,60,Y,Withdrawn
2690719,BBB,2014B,M,East Midlands Region,Lower Than A Level,70-80%,0-35,0,150,N,Withdrawn
32327,BBB,2014J,F,South West Region,Lower Than A Level,20-30%,0-35,2,60,N,Withdrawn
34431,BBB,2014J,F,Yorkshire Region,Lower Than A Level,70-80%,0-35,1,60,N,Withdrawn
34662,BBB,2014J,F,South West Region,A Level or Equivalent,60-70%,35-55,0,60,N,Withdrawn
38711,BBB,2014J,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,Y,Withdrawn
53236,BBB,2014J,F,Yorkshire Region,Lower Than A Level,60-70%,0-35,1,180,N,Withdrawn
58520,BBB,2014J,F,South Region,A Level or Equivalent,50-60%,35-55,0,120,Y,Withdrawn
61352,BBB,2014J,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,2,60,N,Withdrawn
65807,BBB,2014J,F,North Western Region,HE Qualification,10-20,0-35,2,180,N,Withdrawn
70750,BBB,2014J,F,London Region,Lower Than A Level,50-60%,0-35,1,120,N,Withdrawn
72349,BBB,2014J,F,Scotland,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn
73584,BBB,2014J,F,South West Region,Lower Than A Level,30-40%,0-35,1,60,N,Withdrawn
73874,BBB,2014J,F,Wales,Lower Than A Level,90-100%,35-55,2,60,N,Withdrawn
74574,BBB,2014J,F,Scotland,Lower Than A Level,10-20,0-35,0,120,Y,Withdrawn
82611,BBB,2014J,F,Wales,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn
98452,BBB,2014J,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,Y,Withdrawn
99088,BBB,2014J,F,Yorkshire Region,Lower Than A Level,20-30%,0-35,2,60,N,Withdrawn
102067,BBB,2014J,F,North Western Region,A Level or Equivalent,10-20,0-35,1,120,N,Withdrawn
106383,BBB,2014J,F,Scotland,HE Qualification,50-60%,35-55,0,60,N,Withdrawn
118877,BBB,2014J,F,Wales,Lower Than A Level,70-80%,0-35,3,60,N,Withdrawn
119437,BBB,2014J,F,West Midlands Region,Lower Than A Level,0-10%,0-35,2,60,N,Withdrawn
119444,BBB,2014J,F,East Midlands Region,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn
125874,BBB,2014J,F,South East Region,Lower Than A Level,40-50%,35-55,1,60,Y,Withdrawn
132055,BBB,2014J,F,East Anglian Region,HE Qualification,90-100%,0-35,0,60,N,Withdrawn
138407,BBB,2014J,F,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Withdrawn
156358,BBB,2014J,F,Ireland,Lower Than A Level,60-70%,0-35,2,60,N,Withdrawn
161811,BBB,2014J,F,South West Region,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn
165498,BBB,2014J,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,270,Y,Withdrawn
179073,BBB,2014J,F,East Anglian Region,Lower Than A Level,60-70%,0-35,1,60,N,Withdrawn
201655,BBB,2014J,F,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn
205978,BBB,2014J,F,Wales,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn
228235,BBB,2014J,F,Yorkshire Region,A Level or Equivalent,30-40%,35-55,2,60,N,Withdrawn
228909,BBB,2014J,M,North Region,Lower Than A Level,,35-55,0,60,Y,Withdrawn
229326,BBB,2014J,F,West Midlands Region,Lower Than A Level,30-40%,35-55,0,60,N,Withdrawn
242893,BBB,2014J,F,Yorkshire Region,No Formal quals,30-40%,0-35,2,60,N,Withdrawn
247967,BBB,2014J,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn
254313,BBB,2014J,F,South East Region,HE Qualification,20-30%,35-55,0,240,Y,Withdrawn
255957,BBB,2014J,F,West Midlands Region,Lower Than A Level,10-20,0-35,1,60,N,Withdrawn
260777,BBB,2014J,F,North Western Region,Lower Than A Level,0-10%,0-35,2,90,N,Withdrawn
264281,BBB,2014J,M,North Western Region,A Level or Equivalent,20-30%,55<=,0,180,N,Withdrawn
264732,BBB,2014J,F,South Region,Lower Than A Level,10-20,0-35,2,120,N,Withdrawn
267774,BBB,2014J,F,Scotland,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn
270191,BBB,2014J,F,West Midlands Region,Lower Than A Level,90-100%,0-35,0,120,N,Withdrawn
271047,BBB,2014J,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn
272617,BBB,2014J,F,East Midlands Region,Lower Than A Level,20-30%,0-35,3,60,Y,Withdrawn
279238,BBB,2014J,M,East Anglian Region,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn
285992,BBB,2014J,F,South West Region,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn
288655,BBB,2014J,F,North Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn
292813,BBB,2014J,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,1,120,Y,Withdrawn
293989,BBB,2014J,F,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,Y,Withdrawn
306880,BBB,2014J,F,Wales,Lower Than A Level,20-30%,0-35,0,90,N,Withdrawn
316421,BBB,2014J,F,East Anglian Region,Lower Than A Level,10-20,35-55,1,60,N,Withdrawn
322184,BBB,2014J,F,South West Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn
330981,BBB,2014J,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn
335765,BBB,2014J,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,1,60,N,Withdrawn
340899,BBB,2014J,M,Wales,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn
349924,BBB,2014J,F,North Region,Lower Than A Level,0-10%,0-35,1,60,N,Withdrawn
366791,BBB,2014J,F,North Western Region,Lower Than A Level,50-60%,0-35,1,120,N,Withdrawn
373846,BBB,2014J,F,South Region,A Level or Equivalent,40-50%,35-55,1,60,N,Withdrawn
376117,BBB,2014J,F,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn
379212,BBB,2014J,F,North Western Region,Lower Than A Level,30-40%,35-55,0,180,N,Withdrawn
380515,BBB,2014J,F,London Region,Lower Than A Level,0-10%,35-55,0,120,N,Withdrawn
384266,BBB,2014J,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn
387276,BBB,2014J,F,North Western Region,Lower Than A Level,50-60%,35-55,4,60,N,Withdrawn
388738,BBB,2014J,M,South Region,A Level or Equivalent,10-20,35-55,1,60,N,Withdrawn
393529,BBB,2014J,F,Scotland,HE Qualification,30-40%,0-35,3,60,N,Withdrawn
394314,BBB,2014J,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn
395169,BBB,2014J,F,South East Region,Lower Than A Level,40-50%,0-35,0,60,Y,Withdrawn
396673,BBB,2014J,F,South Region,A Level or Equivalent,20-30%,35-55,0,240,N,Withdrawn
398071,BBB,2014J,F,Yorkshire Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn
411105,BBB,2014J,F,South Region,A Level or Equivalent,10-20,0-35,0,120,N,Withdrawn
411150,BBB,2014J,F,Yorkshire Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn
414663,BBB,2014J,F,North Western Region,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn
417971,BBB,2014J,F,Scotland,HE Qualification,60-70%,35-55,0,120,Y,Withdrawn
417978,BBB,2014J,F,Wales,HE Qualification,80-90%,35-55,0,60,N,Withdrawn
418206,BBB,2014J,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,120,Y,Withdrawn
418502,BBB,2014J,F,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn
419924,BBB,2014J,F,Scotland,HE Qualification,0-10%,35-55,0,60,Y,Withdrawn
423613,BBB,2014J,F,West Midlands Region,HE Qualification,20-30%,0-35,0,120,Y,Withdrawn
424586,BBB,2014J,F,South East Region,A Level or Equivalent,20-30%,0-35,0,120,N,Withdrawn
425314,BBB,2014J,F,London Region,Lower Than A Level,40-50%,35-55,0,120,N,Withdrawn
426340,BBB,2014J,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,2,120,N,Withdrawn
430530,BBB,2014J,F,South Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn
440912,BBB,2014J,M,South Region,A Level or Equivalent,40-50%,35-55,0,120,Y,Withdrawn
442685,BBB,2014J,F,East Midlands Region,Lower Than A Level,40-50%,35-55,0,60,N,Withdrawn
442745,BBB,2014J,F,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn
445647,BBB,2014J,F,South West Region,A Level or Equivalent,40-50%,0-35,0,180,N,Withdrawn
446619,BBB,2014J,M,Ireland,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
469803,BBB,2014J,M,South West Region,A Level or Equivalent,40-50%,0-35,0,120,Y,Withdrawn
473444,BBB,2014J,F,North Western Region,Lower Than A Level,80-90%,0-35,0,60,N,Withdrawn
476253,BBB,2014J,F,South East Region,Lower Than A Level,40-50%,0-35,0,180,N,Withdrawn
480988,BBB,2014J,F,South Region,HE Qualification,50-60%,0-35,2,60,N,Withdrawn
484158,BBB,2014J,M,Scotland,HE Qualification,50-60%,35-55,0,120,N,Withdrawn
485439,BBB,2014J,F,Wales,Lower Than A Level,0-10%,35-55,2,60,Y,Withdrawn
485853,BBB,2014J,F,Scotland,HE Qualification,20-30%,0-35,1,180,Y,Withdrawn
488242,BBB,2014J,F,South East Region,A Level or Equivalent,50-60%,35-55,0,120,N,Withdrawn
488854,BBB,2014J,F,South East Region,Lower Than A Level,30-40%,35-55,0,60,N,Withdrawn
490299,BBB,2014J,F,South Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn
491001,BBB,2014J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,120,N,Withdrawn
492579,BBB,2014J,F,West Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn
493609,BBB,2014J,F,Ireland,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn
493763,BBB,2014J,F,South Region,A Level or Equivalent,50-60%,0-35,1,60,N,Withdrawn
494212,BBB,2014J,F,West Midlands Region,Lower Than A Level,80-90%,35-55,0,60,N,Withdrawn
495522,BBB,2014J,F,London Region,A Level or Equivalent,10-20,0-35,0,120,N,Withdrawn
496373,BBB,2014J,F,Yorkshire Region,Lower Than A Level,40-50%,0-35,0,240,N,Withdrawn
501414,BBB,2014J,F,East Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Withdrawn
503159,BBB,2014J,F,South East Region,Lower Than A Level,30-40%,0-35,0,60,N,Withdrawn
503663,BBB,2014J,F,East Midlands Region,Lower Than A Level,60-70%,35-55,0,60,Y,Withdrawn
504066,BBB,2014J,F,East Midlands Region,Lower Than A Level,50-60%,0-35,0,120,N,Withdrawn
505595,BBB,2014J,F,London Region,Lower Than A Level,10-20,0-35,3,60,Y,Withdrawn
505692,BBB,2014J,F,North Region,Lower Than A Level,10-20,0-35,0,120,N,Withdrawn
506679,BBB,2014J,F,London Region,Lower Than A Level,30-40%,0-35,0,60,N,Withdrawn
508431,BBB,2014J,F,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn
511424,BBB,2014J,F,North Region,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn
511962,BBB,2014J,F,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn
512493,BBB,2014J,M,London Region,A Level or Equivalent,10-20,35-55,0,120,N,Withdrawn
514006,BBB,2014J,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,240,N,Withdrawn
514581,BBB,2014J,F,North Western Region,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn
517112,BBB,2014J,M,Yorkshire Region,HE Qualification,0-10%,0-35,1,120,N,Withdrawn
519995,BBB,2014J,F,South West Region,A Level or Equivalent,40-50%,0-35,0,240,N,Withdrawn
522784,BBB,2014J,F,Wales,Lower Than A Level,0-10%,0-35,0,120,N,Withdrawn
523831,BBB,2014J,F,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn
526789,BBB,2014J,F,North Western Region,Lower Than A Level,30-40%,0-35,0,120,N,Withdrawn
526844,BBB,2014J,F,North Western Region,A Level or Equivalent,60-70%,0-35,2,60,N,Withdrawn
530021,BBB,2014J,F,London Region,A Level or Equivalent,40-50%,0-35,1,60,N,Withdrawn
530960,BBB,2014J,F,South West Region,HE Qualification,30-40%,0-35,0,120,N,Withdrawn
532794,BBB,2014J,F,Scotland,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn
534588,BBB,2014J,F,South Region,A Level or Equivalent,70-80%,35-55,1,120,N,Withdrawn
534884,BBB,2014J,F,Wales,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn
537221,BBB,2014J,F,South West Region,A Level or Equivalent,0-10%,0-35,3,120,N,Withdrawn
539657,BBB,2014J,M,West Midlands Region,Lower Than A Level,0-10%,0-35,1,120,N,Withdrawn
541123,BBB,2014J,F,North Western Region,No Formal quals,0-10%,35-55,0,120,N,Withdrawn
541995,BBB,2014J,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,Y,Withdrawn
544177,BBB,2014J,F,South Region,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn
546114,BBB,2014J,F,East Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn
549288,BBB,2014J,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Withdrawn
549839,BBB,2014J,F,London Region,A Level or Equivalent,80-90%,0-35,0,180,N,Withdrawn
551237,BBB,2014J,F,West Midlands Region,Lower Than A Level,60-70%,35-55,0,60,N,Withdrawn
553196,BBB,2014J,F,Scotland,Lower Than A Level,10-20,0-35,2,120,Y,Withdrawn
556290,BBB,2014J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,120,Y,Withdrawn
557085,BBB,2014J,F,Yorkshire Region,Lower Than A Level,20-30%,35-55,0,120,N,Withdrawn
559973,BBB,2014J,F,East Anglian Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn
561773,BBB,2014J,F,North Western Region,Lower Than A Level,50-60%,35-55,0,120,N,Withdrawn
561798,BBB,2014J,F,North Western Region,HE Qualification,10-20,0-35,0,60,N,Withdrawn
562769,BBB,2014J,F,London Region,A Level or Equivalent,80-90%,0-35,0,120,N,Withdrawn
568775,BBB,2014J,F,East Midlands Region,Lower Than A Level,30-40%,0-35,1,60,N,Withdrawn
569157,BBB,2014J,F,East Anglian Region,A Level or Equivalent,80-90%,35-55,0,180,N,Withdrawn
569256,BBB,2014J,F,North Western Region,Lower Than A Level,0-10%,35-55,0,60,N,Withdrawn
570692,BBB,2014J,F,North Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn
571868,BBB,2014J,F,East Midlands Region,Lower Than A Level,80-90%,0-35,1,120,N,Withdrawn
572371,BBB,2014J,F,East Anglian Region,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn
573252,BBB,2014J,F,South East Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn
573554,BBB,2014J,F,South East Region,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn
574306,BBB,2014J,F,London Region,Lower Than A Level,0-10%,0-35,0,120,N,Withdrawn
575892,BBB,2014J,F,London Region,HE Qualification,20-30%,0-35,1,60,Y,Withdrawn
576262,BBB,2014J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,60,N,Withdrawn
576445,BBB,2014J,F,East Midlands Region,Lower Than A Level,10-20,35-55,0,120,Y,Withdrawn
577354,BBB,2014J,F,Wales,HE Qualification,70-80%,0-35,1,60,N,Withdrawn
577934,BBB,2014J,M,South East Region,HE Qualification,40-50%,35-55,0,120,N,Withdrawn
578418,BBB,2014J,F,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
578445,BBB,2014J,F,West Midlands Region,Lower Than A Level,0-10%,35-55,0,90,N,Withdrawn
579031,BBB,2014J,F,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn
579201,BBB,2014J,F,Yorkshire Region,A Level or Equivalent,10-20,35-55,0,60,N,Withdrawn
581672,BBB,2014J,F,South Region,Lower Than A Level,80-90%,35-55,1,60,N,Withdrawn
582694,BBB,2014J,F,South Region,Lower Than A Level,60-70%,0-35,0,60,Y,Withdrawn
582933,BBB,2014J,M,East Midlands Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn
583179,BBB,2014J,F,London Region,Lower Than A Level,0-10%,0-35,1,60,N,Withdrawn
584274,BBB,2014J,F,Yorkshire Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn
584283,BBB,2014J,F,London Region,A Level or Equivalent,30-40%,0-35,0,120,N,Withdrawn
584595,BBB,2014J,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Withdrawn
584664,BBB,2014J,F,South East Region,Lower Than A Level,10-20,35-55,0,120,Y,Withdrawn
585963,BBB,2014J,F,East Midlands Region,A Level or Equivalent,10-20,0-35,1,60,Y,Withdrawn
586398,BBB,2014J,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,120,N,Withdrawn
586561,BBB,2014J,F,Wales,Lower Than A Level,0-10%,35-55,0,90,Y,Withdrawn
587037,BBB,2014J,M,South East Region,HE Qualification,80-90%,0-35,0,120,N,Withdrawn
587434,BBB,2014J,F,North Western Region,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn
588062,BBB,2014J,F,London Region,Lower Than A Level,40-50%,35-55,0,120,N,Withdrawn
588166,BBB,2014J,F,North Western Region,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn
589935,BBB,2014J,F,London Region,A Level or Equivalent,80-90%,0-35,0,120,N,Withdrawn
589968,BBB,2014J,F,East Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn
590444,BBB,2014J,F,South Region,A Level or Equivalent,50-60%,35-55,0,60,N,Withdrawn
590593,BBB,2014J,F,North Western Region,Lower Than A Level,10-20,35-55,0,60,N,Withdrawn
590764,BBB,2014J,F,East Anglian Region,Lower Than A Level,90-100%,35-55,0,60,N,Withdrawn
590867,BBB,2014J,M,London Region,A Level or Equivalent,40-50%,35-55,1,90,N,Withdrawn
591159,BBB,2014J,M,South Region,Lower Than A Level,80-90%,0-35,0,60,Y,Withdrawn
591986,BBB,2014J,M,West Midlands Region,Lower Than A Level,0-10%,0-35,1,120,N,Withdrawn
591999,BBB,2014J,F,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn
592090,BBB,2014J,F,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,120,N,Withdrawn
592262,BBB,2014J,M,South West Region,Lower Than A Level,90-100%,0-35,1,60,N,Withdrawn
592815,BBB,2014J,F,West Midlands Region,No Formal quals,0-10%,0-35,1,60,N,Withdrawn
593583,BBB,2014J,M,Wales,Lower Than A Level,90-100%,35-55,0,120,N,Withdrawn
593791,BBB,2014J,F,South West Region,A Level or Equivalent,70-80%,35-55,0,60,N,Withdrawn
593819,BBB,2014J,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn
595018,BBB,2014J,F,Wales,HE Qualification,10-20,35-55,0,60,N,Withdrawn
595850,BBB,2014J,M,West Midlands Region,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn
596072,BBB,2014J,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn
596496,BBB,2014J,F,West Midlands Region,HE Qualification,70-80%,0-35,0,180,N,Withdrawn
596744,BBB,2014J,F,West Midlands Region,HE Qualification,0-10%,0-35,0,120,N,Withdrawn
