,id_student,code_module_x,code_presentation,final_result,activity_type,id_site,num_of_prev_attempts,studied_credits,sum
15684,295741,AAA,2013J,Fail,forumng,546657,0,240,41
15693,295741,AAA,2013J,Fail,oucontent,546665,0,240,8
28216,593987,AAA,2014J,Fail,oucontent,877047,0,180,3
28231,593987,AAA,2014J,Fail,oucontent,877068,0,180,2
10548,205719,AAA,2013J,Fail,url,546903,0,90,1
23523,396655,AAA,2014J,Fail,oucontent,877076,0,180,2
16001,298034,AAA,2014J,Fail,oucontent,877042,0,120,4
6404,147756,AAA,2013J,Fail,oucontent,877043,0,120,7
15786,295741,AAA,2013J,Fail,subpage,546879,0,240,51
25131,420087,AAA,2013J,Fail,resource,546916,0,60,1
44456,2595841,AAA,2014J,Fail,oucontent,877052,0,60,35
31393,1414443,AAA,2013J,Fail,oucontent,546732,0,120,122
31382,1414443,AAA,2013J,Fail,oucontent,546713,0,120,1
18464,329659,AAA,2014J,Fail,resource,877182,0,60,1
13288,268073,AAA,2013J,Fail,forumng,546653,0,90,17
27085,527801,AAA,2014J,Fail,oucontent,877056,0,120,5
37414,2207874,AAA,2014J,Fail,oucontent,877044,0,120,3
31360,1414443,AAA,2013J,Fail,oucontent,546678,0,120,6
11853,241729,AAA,2013J,Fail,oucontent,546693,0,60,1
22861,387533,AAA,2014J,Fail,oucontent,877095,0,60,18
40823,2461190,AAA,2013J,Fail,forumng,546645,0,60,7
5998,141506,AAA,2014J,Fail,oucontent,877038,0,60,1
27886,581129,AAA,2013J,Fail,oucontent,546675,0,120,1
28194,593987,AAA,2014J,Fail,dataplus,877423,0,180,5
25064,415969,AAA,2014J,Fail,subpage,546871,1,60,20
45211,2606802,AAA,2014J,Fail,oucontent,877088,0,60,6
16269,302302,AAA,2013J,Fail,oucontent,546682,0,60,6
35882,2084066,AAA,2013J,Fail,oucontent,546733,0,60,56
25128,420087,AAA,2013J,Fail,oucontent,546733,0,60,2
37016,2164705,AAA,2013J,Fail,oucontent,546669,0,120,17
15677,295741,AAA,2013J,Fail,forumng,546644,0,240,3
40233,2429854,AAA,2014J,Fail,oucontent,546734,1,60,61
25108,420087,AAA,2013J,Fail,oucontent,546669,0,60,10
28941,677281,AAA,2014J,Fail,forumng,877012,0,60,1
44443,2595841,AAA,2014J,Fail,oucollaborate,877380,0,60,1
25118,420087,AAA,2013J,Fail,oucontent,546687,0,60,2
15538,294655,AAA,2014J,Fail,oucontent,877071,0,60,2
31792,1472925,AAA,2013J,Fail,oucontent,546702,0,60,2
7856,165226,AAA,2014J,Fail,oucontent,877052,0,60,50
13739,277123,AAA,2014J,Fail,url,877397,0,60,1
11859,241729,AAA,2013J,Fail,oucontent,546707,0,60,9
22852,387533,AAA,2014J,Fail,oucontent,877082,0,60,8
6370,147756,AAA,2013J,Fail,oucontent,546664,0,120,10
9299,185439,AAA,2013J,Fail,glossary,546660,0,120,1
6379,147756,AAA,2013J,Fail,oucontent,546681,0,120,28
27514,564450,AAA,2013J,Fail,oucontent,546714,0,120,4
40905,2469673,AAA,2013J,Fail,homepage,546614,0,60,118
28945,677281,AAA,2014J,Fail,homepage,877030,0,60,28
27146,537081,AAA,2014J,Fail,oucontent,877040,0,120,8
40858,2461190,AAA,2013J,Fail,oucontent,546733,0,60,49
35707,2073016,AAA,2014J,Fail,subpage,546879,1,60,22
6385,147756,AAA,2013J,Fail,oucontent,546692,0,120,17
39814,2404408,AAA,2014J,Fail,forumng,877023,0,60,6
13318,268073,AAA,2013J,Fail,oucontent,546692,0,90,33
46655,2669816,AAA,2013J,Fail,resource,546966,0,60,1
15789,295741,AAA,2013J,Fail,subpage,779623,0,240,1
25376,431025,AAA,2014J,Fail,resource,877231,0,150,3
12014,243510,AAA,2014J,Fail,subpage,877128,0,60,29
40229,2429854,AAA,2014J,Fail,oucontent,546719,1,60,19
6294,146188,AAA,2013J,Fail,oucontent,546684,0,60,13
37431,2207874,AAA,2014J,Fail,url,877387,0,120,2
14659,288994,AAA,2014J,Fail,homepage,877030,0,120,13
35652,2073016,AAA,2014J,Fail,forumng,877025,1,60,4
38592,2342426,AAA,2013J,Fail,oucontent,546690,0,60,3
39824,2404408,AAA,2014J,Fail,oucontent,877043,0,60,3
38602,2342426,AAA,2013J,Fail,oucontent,546702,0,60,18
5755,139033,AAA,2014J,Fail,oucontent,877087,0,60,5
45222,2606802,AAA,2014J,Fail,url,877387,0,60,1
41098,2470694,AAA,2014J,Fail,forumng,877025,1,60,109
32441,1620151,AAA,2013J,Fail,forumng,546650,0,60,7
1860,65002,AAA,2014J,Fail,url,546883,1,60,1
31841,1472925,AAA,2013J,Fail,url,546883,0,60,19
31753,1472925,AAA,2013J,Fail,dataplus,547048,0,60,2
27178,537081,AAA,2014J,Fail,subpage,877135,0,120,18
23451,396599,AAA,2014J,Fail,forumng,877025,0,120,54
27083,527801,AAA,2014J,Fail,oucontent,877049,0,120,23
31256,1401935,AAA,2013J,Fail,oucontent,546723,0,60,2
23801,398552,AAA,2013J,Fail,oucontent,546702,0,240,10
43977,2576122,AAA,2014J,Fail,oucontent,546731,1,60,15
16285,302302,AAA,2013J,Fail,subpage,546871,0,60,23
40364,2436812,AAA,2014J,Fail,resource,877156,0,60,1
38662,2344901,AAA,2013J,Fail,oucontent,546734,0,60,4
8863,175991,AAA,2013J,Fail,subpage,546879,0,180,22
7848,165226,AAA,2014J,Fail,oucontent,877038,0,60,1
35469,2062879,AAA,2013J,Fail,oucontent,546693,0,60,11
28222,593987,AAA,2014J,Fail,oucontent,877055,0,180,31
6424,147756,AAA,2013J,Fail,oucontent,877076,0,120,15
16045,298034,AAA,2014J,Fail,resource,877247,0,120,1
41174,2470694,AAA,2014J,Fail,resource,546935,1,60,2
35665,2073016,AAA,2014J,Fail,oucontent,546684,1,60,37
45115,2602338,AAA,2014J,Fail,oucontent,877067,0,120,22
31394,1414443,AAA,2013J,Fail,oucontent,546733,0,120,17
38745,2358056,AAA,2013J,Fail,oucontent,546723,0,60,9
38673,2344901,AAA,2013J,Fail,url,546904,0,60,1
25363,431025,AAA,2014J,Fail,oucontent,877070,0,150,2
28199,593987,AAA,2014J,Fail,forumng,877025,0,180,5
35490,2062879,AAA,2013J,Fail,oucontent,546726,0,60,3
23487,396599,AAA,2014J,Fail,resource,877156,0,120,1
44479,2595841,AAA,2014J,Fail,oucontent,877094,0,60,23
15818,295741,AAA,2013J,Fail,url,779728,0,240,1
23810,398552,AAA,2013J,Fail,oucontent,546717,0,240,18
43883,2574990,AAA,2014J,Fail,homepage,877030,0,60,437
35693,2073016,AAA,2014J,Fail,resource,546948,1,60,2
5994,141506,AAA,2014J,Fail,forumng,877015,0,60,38
15694,295741,AAA,2013J,Fail,oucontent,546667,0,240,36
21556,368824,AAA,2013J,Fail,resource,547017,0,120,6
38605,2342426,AAA,2013J,Fail,oucontent,546707,0,60,24
40871,2461190,AAA,2013J,Fail,subpage,546871,0,60,10
46635,2669816,AAA,2013J,Fail,homepage,546614,0,60,75
28943,677281,AAA,2014J,Fail,forumng,877025,0,60,6
10651,227517,AAA,2013J,Fail,oucontent,546665,0,180,38
20978,354170,AAA,2014J,Fail,subpage,877132,0,60,1
28244,593987,AAA,2014J,Fail,oucontent,877091,0,180,44
35447,2062879,AAA,2013J,Fail,oucontent,546664,0,60,10
15542,294655,AAA,2014J,Fail,oucontent,877077,0,60,2
31419,1414443,AAA,2013J,Fail,url,546899,0,120,3
23505,396655,AAA,2014J,Fail,forumng,877023,0,180,2
38654,2344901,AAA,2013J,Fail,oucontent,546692,0,60,37
40912,2469673,AAA,2013J,Fail,oucontent,546670,0,60,6
44444,2595841,AAA,2014J,Fail,oucontent,877033,0,60,6
29745,852847,AAA,2014J,Fail,resource,877142,0,60,1
16287,302302,AAA,2013J,Fail,subpage,546876,0,60,4
5759,139033,AAA,2014J,Fail,oucontent,877098,0,60,2
13281,268073,AAA,2013J,Fail,forumng,546645,0,90,49
35434,2062879,AAA,2013J,Fail,forumng,546648,0,60,12
35714,2073016,AAA,2014J,Fail,url,546898,1,60,1
25930,468120,AAA,2014J,Fail,resource,877230,0,120,7
5747,139033,AAA,2014J,Fail,oucontent,877073,0,60,18
23277,392756,AAA,2013J,Fail,oucontent,546670,0,120,3
25031,415969,AAA,2014J,Fail,oucontent,546719,1,60,61
31241,1401935,AAA,2013J,Fail,forumng,546652,0,60,40
6279,146188,AAA,2013J,Fail,forumng,546655,0,60,6
15730,295741,AAA,2013J,Fail,oucontent,779374,0,240,30
40359,2436812,AAA,2014J,Fail,oucontent,877087,0,60,8
31363,1414443,AAA,2013J,Fail,oucontent,546682,0,120,9
38597,2342426,AAA,2013J,Fail,oucontent,546695,0,60,3
45189,2606802,AAA,2014J,Fail,oucontent,877035,0,60,20
10532,205719,AAA,2013J,Fail,oucontent,546714,0,90,28
19277,334441,AAA,2014J,Fail,oucontent,877069,0,60,6
5721,139033,AAA,2014J,Fail,oucontent,877035,0,60,2
31818,1472925,AAA,2013J,Fail,oucontent,877075,0,60,15
25053,415969,AAA,2014J,Fail,resource,546920,1,60,2
10663,227517,AAA,2013J,Fail,oucontent,546685,0,180,5
40830,2461190,AAA,2013J,Fail,forumng,546659,0,60,7
26247,481022,AAA,2014J,Fail,oucontent,877043,0,180,3
18457,329659,AAA,2014J,Fail,oucontent,877098,0,60,6
43965,2576122,AAA,2014J,Fail,homepage,877030,1,60,8
40347,2436812,AAA,2014J,Fail,oucontent,877049,0,60,4
39851,2411661,AAA,2013J,Fail,dataplus,547050,0,120,4
40873,2461190,AAA,2013J,Fail,subpage,546874,0,60,1
43886,2574990,AAA,2014J,Fail,oucontent,877037,0,60,7
43929,2574990,AAA,2014J,Fail,url,877399,0,60,177
45119,2602338,AAA,2014J,Fail,oucontent,877076,0,120,8
16263,302302,AAA,2013J,Fail,oucontent,546669,0,60,14
16270,302302,AAA,2013J,Fail,oucontent,546686,0,60,10
38628,2342426,AAA,2013J,Fail,resource,547008,0,60,1
16282,302302,AAA,2013J,Fail,resource,546952,0,60,2
13303,268073,AAA,2013J,Fail,oucontent,546675,0,90,15
15819,295741,AAA,2013J,Fail,url,779746,0,240,14
20287,344282,AAA,2013J,Fail,oucontent,546672,0,60,2
41086,2470694,AAA,2014J,Fail,forumng,546652,1,60,86
1853,65002,AAA,2014J,Fail,oucontent,546735,1,60,1
29729,852847,AAA,2014J,Fail,dataplus,877420,0,60,2
32448,1620151,AAA,2013J,Fail,homepage,546614,0,60,203
15505,294655,AAA,2014J,Fail,forumng,877023,0,60,10
25109,420087,AAA,2013J,Fail,oucontent,546670,0,60,2
23826,398552,AAA,2013J,Fail,resource,546948,0,240,2
18474,329659,AAA,2014J,Fail,subpage,877132,0,60,1
5765,139033,AAA,2014J,Fail,subpage,877135,0,60,6
31248,1401935,AAA,2013J,Fail,oucontent,546667,0,60,12
38723,2358056,AAA,2013J,Fail,oucontent,546672,0,60,7
35839,2084066,AAA,2013J,Fail,forumng,546649,0,60,13
33757,1818673,AAA,2014J,Fail,oucontent,877058,0,120,13
35841,2084066,AAA,2013J,Fail,forumng,546652,0,60,51
14039,281250,AAA,2013J,Fail,oucontent,546668,0,60,3
23823,398552,AAA,2013J,Fail,oucontent,546738,0,240,11
35684,2073016,AAA,2014J,Fail,oucontent,877041,1,60,8
33767,1818673,AAA,2014J,Fail,subpage,877134,0,120,5
32453,1620151,AAA,2013J,Fail,oucontent,546667,0,60,36
13317,268073,AAA,2013J,Fail,oucontent,546691,0,90,22
35698,2073016,AAA,2014J,Fail,resource,546986,1,60,2
43968,2576122,AAA,2014J,Fail,oucontent,546668,1,60,3
6452,147756,AAA,2013J,Fail,resource,877237,0,120,2
11858,241729,AAA,2013J,Fail,oucontent,546705,0,60,3
7851,165226,AAA,2014J,Fail,oucontent,877043,0,60,8
2120,74372,AAA,2013J,Fail,url,546883,0,150,1
41082,2470694,AAA,2014J,Fail,forumng,546647,1,60,30
1859,65002,AAA,2014J,Fail,subpage,546879,1,60,9
38627,2342426,AAA,2013J,Fail,resource,546966,0,60,2
2116,74372,AAA,2013J,Fail,resource,547001,0,150,1
29741,852847,AAA,2014J,Fail,oucontent,877069,0,60,3
22831,387533,AAA,2014J,Fail,oucontent,877049,0,60,2
28483,606143,AAA,2013J,Fail,oucontent,546733,0,60,5
9298,185439,AAA,2013J,Fail,forumng,546659,0,120,4
39865,2411661,AAA,2013J,Fail,oucontent,546680,0,120,7
8853,175991,AAA,2013J,Fail,oucontent,546662,0,180,1
10515,205719,AAA,2013J,Fail,forumng,546652,0,90,1
10691,227517,AAA,2013J,Fail,subpage,546879,0,180,88
25921,468120,AAA,2014J,Fail,homepage,877030,0,120,24
40355,2436812,AAA,2014J,Fail,oucontent,877079,0,60,23
10545,205719,AAA,2013J,Fail,url,546883,0,90,7
25116,420087,AAA,2013J,Fail,oucontent,546684,0,60,1
14059,281589,AAA,2013J,Fail,oucontent,546662,0,60,8
35688,2073016,AAA,2014J,Fail,oucontent,877062,1,60,3
6437,147756,AAA,2013J,Fail,resource,547009,0,120,4
13708,277123,AAA,2014J,Fail,oucontent,877045,0,60,7
45194,2606802,AAA,2014J,Fail,oucontent,877044,0,60,1
14048,281250,AAA,2013J,Fail,resource,547013,0,60,3
16003,298034,AAA,2014J,Fail,oucontent,877044,0,120,15
11879,241729,AAA,2013J,Fail,resource,546948,0,60,1
47549,2694788,AAA,2014J,Fail,homepage,877030,0,180,42
37410,2207874,AAA,2014J,Fail,forumng,877025,0,120,10
15811,295741,AAA,2013J,Fail,subpage,779672,0,240,1
28224,593987,AAA,2014J,Fail,oucontent,877059,0,180,70
6292,146188,AAA,2013J,Fail,oucontent,546681,0,60,23
46764,2676809,AAA,2013J,Fail,oucontent,546662,0,150,9
10660,227517,AAA,2013J,Fail,oucontent,546680,0,180,1
37014,2164705,AAA,2013J,Fail,oucontent,546667,0,120,10
5757,139033,AAA,2014J,Fail,oucontent,877091,0,60,23
23308,392756,AAA,2013J,Fail,subpage,546879,0,120,15
23513,396655,AAA,2014J,Fail,oucontent,877043,0,180,7
40854,2461190,AAA,2013J,Fail,oucontent,546719,0,60,7
27100,527801,AAA,2014J,Fail,resource,1010323,0,120,2
37421,2207874,AAA,2014J,Fail,oucontent,877081,0,120,7
43982,2576122,AAA,2014J,Fail,subpage,546871,1,60,2
6438,147756,AAA,2013J,Fail,resource,547013,0,120,3
39852,2411661,AAA,2013J,Fail,forumng,546645,0,120,17
6383,147756,AAA,2013J,Fail,oucontent,546689,0,120,1
32445,1620151,AAA,2013J,Fail,forumng,546657,0,60,51
35673,2073016,AAA,2014J,Fail,oucontent,546723,1,60,19
46765,2676809,AAA,2013J,Fail,oucontent,546667,0,150,12
17271,311659,AAA,2014J,Fail,oucontent,877043,0,120,1
17273,311659,AAA,2014J,Fail,oucontent,877045,0,120,3
31830,1472925,AAA,2013J,Fail,resource,547017,0,60,2
9297,185439,AAA,2013J,Fail,forumng,546657,0,120,26
15603,295060,AAA,2014J,Fail,resource,877266,0,60,1
5716,139033,AAA,2014J,Fail,homepage,877030,0,60,203
8858,175991,AAA,2013J,Fail,oucontent,546671,0,180,1
21537,368824,AAA,2013J,Fail,forumng,546649,0,120,3
19233,334259,AAA,2013J,Fail,oucontent,546688,0,150,5
6300,146188,AAA,2013J,Fail,oucontent,546693,0,60,3
31376,1414443,AAA,2013J,Fail,oucontent,546699,0,120,6
35459,2062879,AAA,2013J,Fail,oucontent,546682,0,60,33
23535,396655,AAA,2014J,Fail,resource,877231,0,180,3
10539,205719,AAA,2013J,Fail,resource,547017,0,90,1
32461,1620151,AAA,2013J,Fail,oucontent,546681,0,60,32
21557,368824,AAA,2013J,Fail,resource,547037,0,120,1
43909,2574990,AAA,2014J,Fail,oucontent,877089,0,60,51
38570,2342426,AAA,2013J,Fail,forumng,546656,0,60,23
28468,606143,AAA,2013J,Fail,oucontent,546669,0,60,23
7844,165226,AAA,2014J,Fail,forumng,877025,0,60,38
45216,2606802,AAA,2014J,Fail,resource,877241,0,60,1
7858,165226,AAA,2014J,Fail,oucontent,877058,0,60,25
2101,74372,AAA,2013J,Fail,forumng,546655,0,150,2
6275,146188,AAA,2013J,Fail,forumng,546647,0,60,8
28221,593987,AAA,2014J,Fail,oucontent,877054,0,180,8
41133,2470694,AAA,2014J,Fail,oucontent,546708,1,60,1
38590,2342426,AAA,2013J,Fail,oucontent,546687,0,60,10
19239,334259,AAA,2013J,Fail,resource,547001,0,150,2
35464,2062879,AAA,2013J,Fail,oucontent,546687,0,60,17
15697,295741,AAA,2013J,Fail,oucontent,546670,0,240,5
35466,2062879,AAA,2013J,Fail,oucontent,546690,0,60,15
35862,2084066,AAA,2013J,Fail,oucontent,546681,0,60,31
41186,2470694,AAA,2014J,Fail,resource,547001,1,60,1
39879,2411661,AAA,2013J,Fail,oucontent,546723,0,120,5
31245,1401935,AAA,2013J,Fail,forumng,546657,0,60,44
6378,147756,AAA,2013J,Fail,oucontent,546676,0,120,13
6309,146188,AAA,2013J,Fail,oucontent,546739,0,60,4
41129,2470694,AAA,2014J,Fail,oucontent,546697,1,60,3
9313,185439,AAA,2013J,Fail,oucontent,546731,0,120,2
11826,241729,AAA,2013J,Fail,forumng,546655,0,60,12
19720,341872,AAA,2013J,Fail,resource,547005,0,180,2
15695,295741,AAA,2013J,Fail,oucontent,546668,0,240,4
45384,2624961,AAA,2014J,Fail,oucontent,877034,0,60,1
1848,65002,AAA,2014J,Fail,oucontent,546714,1,60,9
28942,677281,AAA,2014J,Fail,forumng,877015,0,60,6
20291,344282,AAA,2013J,Fail,subpage,546871,0,60,3
11849,241729,AAA,2013J,Fail,oucontent,546687,0,60,24
15582,295060,AAA,2014J,Fail,oucontent,877047,0,60,2
35285,2045084,AAA,2014J,Fail,forumng,877023,0,120,2
45130,2602338,AAA,2014J,Fail,resource,877156,0,120,1
38619,2342426,AAA,2013J,Fail,oucontent,546735,0,60,12
43966,2576122,AAA,2014J,Fail,oucontent,546662,1,60,8
27875,581129,AAA,2013J,Fail,forumng,546654,0,120,13
13711,277123,AAA,2014J,Fail,oucontent,877052,0,60,12
16026,298034,AAA,2014J,Fail,oucontent,877081,0,120,20
21553,368824,AAA,2013J,Fail,resource,546966,0,120,2
6295,146188,AAA,2013J,Fail,oucontent,546686,0,60,25
40910,2469673,AAA,2013J,Fail,oucontent,546668,0,60,4
6302,146188,AAA,2013J,Fail,oucontent,546699,0,60,6
45402,2624961,AAA,2014J,Fail,oucontent,877093,0,60,1
2111,74372,AAA,2013J,Fail,oucontent,546681,0,150,1
35495,2062879,AAA,2013J,Fail,oucontent,546734,0,60,70
15742,295741,AAA,2013J,Fail,oucontent,779438,0,240,30
37412,2207874,AAA,2014J,Fail,homepage,877030,0,120,48
41124,2470694,AAA,2014J,Fail,oucontent,546692,1,60,28
23296,392756,AAA,2013J,Fail,oucontent,546733,0,120,2
10664,227517,AAA,2013J,Fail,oucontent,546688,0,180,44
10524,205719,AAA,2013J,Fail,oucontent,546671,0,90,2
28210,593987,AAA,2014J,Fail,oucontent,877039,0,180,1
20285,344282,AAA,2013J,Fail,oucontent,546670,0,60,2
23456,396599,AAA,2014J,Fail,oucontent,877036,0,120,2
46784,2676809,AAA,2013J,Fail,subpage,546879,0,150,43
3769,111512,AAA,2014J,Fail,forumng,877015,0,60,12
19218,334259,AAA,2013J,Fail,forumng,546652,0,150,14
39893,2411661,AAA,2013J,Fail,url,546900,0,120,1
27155,537081,AAA,2014J,Fail,oucontent,877069,0,120,10
44478,2595841,AAA,2014J,Fail,oucontent,877093,0,60,28
25377,431025,AAA,2014J,Fail,subpage,877128,0,150,28
5741,139033,AAA,2014J,Fail,oucontent,877062,0,60,9
37416,2207874,AAA,2014J,Fail,oucontent,877053,0,120,3
21188,364177,AAA,2013J,Fail,oucontent,546735,0,60,8
6434,147756,AAA,2013J,Fail,oucontent,877094,0,120,19
13347,268073,AAA,2013J,Fail,oucontent,546734,0,90,47
38793,2358056,AAA,2013J,Fail,subpage,546876,0,60,9
16033,298034,AAA,2014J,Fail,oucontent,877093,0,120,39
41211,2470694,AAA,2014J,Fail,url,546890,1,60,1
43890,2574990,AAA,2014J,Fail,oucontent,877042,0,60,11
35513,2062879,AAA,2013J,Fail,url,546889,0,60,4
15563,294655,AAA,2014J,Fail,resource,877158,0,60,1
23773,398552,AAA,2013J,Fail,oucontent,546667,0,240,8
16281,302302,AAA,2013J,Fail,resource,546948,0,60,2
38665,2344901,AAA,2013J,Fail,resource,546948,0,60,3
23448,396599,AAA,2014J,Fail,forumng,877012,0,120,27
31337,1414443,AAA,2013J,Fail,forumng,546653,0,120,21
32466,1620151,AAA,2013J,Fail,oucontent,546691,0,60,5
6420,147756,AAA,2013J,Fail,oucontent,877068,0,120,3
27148,537081,AAA,2014J,Fail,oucontent,877045,0,120,4
25081,418731,AAA,2014J,Fail,oucontent,877079,0,90,11
22875,387533,AAA,2014J,Fail,url,877399,0,60,3
21076,357668,AAA,2013J,Fail,resource,546954,0,60,2
9311,185439,AAA,2013J,Fail,oucontent,546714,0,120,18
25920,468120,AAA,2014J,Fail,forumng,877023,0,120,2
11857,241729,AAA,2013J,Fail,oucontent,546702,0,60,14
13356,268073,AAA,2013J,Fail,resource,547001,0,90,1
35287,2045084,AAA,2014J,Fail,homepage,877030,0,120,71
40374,2436812,AAA,2014J,Fail,subpage,877135,0,60,10
32492,1620151,AAA,2013J,Fail,subpage,546879,0,60,49
35691,2073016,AAA,2014J,Fail,oucontent,877095,1,60,1
40898,2469673,AAA,2013J,Fail,forumng,546652,0,60,9
44487,2595841,AAA,2014J,Fail,subpage,877132,0,60,1
15558,294655,AAA,2014J,Fail,oucontent,877098,0,60,15
27073,527801,AAA,2014J,Fail,forumng,877012,0,120,29
45380,2624961,AAA,2014J,Fail,forumng,877026,0,60,2
38647,2344901,AAA,2013J,Fail,oucontent,546681,0,60,1
6399,147756,AAA,2013J,Fail,oucontent,877033,0,120,2
16289,302302,AAA,2013J,Fail,url,546883,0,60,3
35887,2084066,AAA,2013J,Fail,oucontent,546739,0,60,40
25359,431025,AAA,2014J,Fail,oucontent,877062,0,150,16
25095,418731,AAA,2014J,Fail,url,877404,0,90,1
39885,2411661,AAA,2013J,Fail,resource,546948,0,120,3
15990,298034,AAA,2014J,Fail,oucollaborate,877380,0,120,2
21189,364177,AAA,2013J,Fail,oucontent,546736,0,60,18
14046,281250,AAA,2013J,Fail,resource,546948,0,60,1
44469,2595841,AAA,2014J,Fail,oucontent,877074,0,60,13
5997,141506,AAA,2014J,Fail,homepage,877030,0,60,97
41201,2470694,AAA,2014J,Fail,resource,1010323,1,60,1
35508,2062879,AAA,2013J,Fail,resource,547017,0,60,5
22820,387533,AAA,2014J,Fail,oucontent,877033,0,60,4
16032,298034,AAA,2014J,Fail,oucontent,877091,0,120,44
11876,241729,AAA,2013J,Fail,oucontent,546738,0,60,7
43983,2576122,AAA,2014J,Fail,subpage,546874,1,60,1
10693,227517,AAA,2013J,Fail,url,546900,0,180,2
25139,420087,AAA,2013J,Fail,subpage,546876,0,60,3
9328,185439,AAA,2013J,Fail,subpage,546876,0,120,9
25039,415969,AAA,2014J,Fail,oucontent,546737,1,60,8
5746,139033,AAA,2014J,Fail,oucontent,877072,0,60,1
41141,2470694,AAA,2014J,Fail,oucontent,546731,1,60,13
31415,1414443,AAA,2013J,Fail,url,546883,0,120,77
35661,2073016,AAA,2014J,Fail,oucontent,546670,1,60,1
16011,298034,AAA,2014J,Fail,oucontent,877058,0,120,30
6450,147756,AAA,2013J,Fail,resource,877234,0,120,1
35888,2084066,AAA,2013J,Fail,resource,546952,0,60,1
40217,2429854,AAA,2014J,Fail,homepage,877030,1,60,62
16260,302302,AAA,2013J,Fail,oucontent,546665,0,60,1
23786,398552,AAA,2013J,Fail,oucontent,546682,0,240,5
23515,396655,AAA,2014J,Fail,oucontent,877050,0,180,21
35844,2084066,AAA,2013J,Fail,forumng,546655,0,60,26
40831,2461190,AAA,2013J,Fail,homepage,546614,0,60,152
9305,185439,AAA,2013J,Fail,oucontent,546669,0,120,12
31780,1472925,AAA,2013J,Fail,oucontent,546681,0,60,8
37032,2164705,AAA,2013J,Fail,subpage,546876,0,120,8
25038,415969,AAA,2014J,Fail,oucontent,546734,1,60,39
11875,241729,AAA,2013J,Fail,oucontent,546737,0,60,22
11978,243510,AAA,2014J,Fail,forumng,877015,0,60,34
10643,227517,AAA,2013J,Fail,forumng,546656,0,180,9
23779,398552,AAA,2013J,Fail,oucontent,546674,0,240,20
40210,2429854,AAA,2014J,Fail,forumng,546650,1,60,1
35308,2045084,AAA,2014J,Fail,subpage,877128,0,120,11
25050,415969,AAA,2014J,Fail,oucontent,877082,1,60,3
32459,1620151,AAA,2013J,Fail,oucontent,546676,0,60,17
38738,2358056,AAA,2013J,Fail,oucontent,546701,0,60,1
29734,852847,AAA,2014J,Fail,oucontent,877038,0,60,2
2102,74372,AAA,2013J,Fail,forumng,546656,0,150,2
21164,364177,AAA,2013J,Fail,oucontent,546676,0,60,3
25379,431025,AAA,2014J,Fail,subpage,877135,0,150,2
9279,185350,AAA,2014J,Fail,oucontent,877040,0,60,4
27149,537081,AAA,2014J,Fail,oucontent,877052,0,120,1
35689,2073016,AAA,2014J,Fail,oucontent,877081,1,60,8
41185,2470694,AAA,2014J,Fail,resource,546995,1,60,1
19278,334441,AAA,2014J,Fail,oucontent,877073,0,60,1
23771,398552,AAA,2013J,Fail,oucontent,546665,0,240,20
40354,2436812,AAA,2014J,Fail,oucontent,877076,0,60,12
21540,368824,AAA,2013J,Fail,forumng,546652,0,120,17
15774,295741,AAA,2013J,Fail,resource,779582,0,240,1
8848,175991,AAA,2013J,Fail,forumng,546644,0,180,5
23274,392756,AAA,2013J,Fail,oucontent,546667,0,120,11
32476,1620151,AAA,2013J,Fail,oucontent,546732,0,60,101
25358,431025,AAA,2014J,Fail,oucontent,877058,0,150,4
27879,581129,AAA,2013J,Fail,homepage,546614,0,120,54
16010,298034,AAA,2014J,Fail,oucontent,877057,0,120,1
45101,2602338,AAA,2014J,Fail,oucontent,877035,0,120,8
27091,527801,AAA,2014J,Fail,oucontent,877081,0,120,51
32490,1620151,AAA,2013J,Fail,subpage,546874,0,60,1
12006,243510,AAA,2014J,Fail,oucontent,877091,0,60,12
25071,415969,AAA,2014J,Fail,subpage,877135,1,60,7
27082,527801,AAA,2014J,Fail,oucontent,877048,0,120,3
35712,2073016,AAA,2014J,Fail,url,546883,1,60,58
35463,2062879,AAA,2013J,Fail,oucontent,546686,0,60,19
25032,415969,AAA,2014J,Fail,oucontent,546721,1,60,1
18433,329659,AAA,2014J,Fail,oucontent,877039,0,60,11
15685,295741,AAA,2013J,Fail,forumng,546659,0,240,3
13727,277123,AAA,2014J,Fail,oucontent,877095,0,60,2
41200,2470694,AAA,2014J,Fail,resource,877241,1,60,1
15771,295741,AAA,2013J,Fail,resource,779567,0,240,1
35873,2084066,AAA,2013J,Fail,oucontent,546702,0,60,19
28196,593987,AAA,2014J,Fail,forumng,877012,0,180,85
32489,1620151,AAA,2013J,Fail,subpage,546871,0,60,5
35896,2084066,AAA,2013J,Fail,subpage,546876,0,60,21
15508,294655,AAA,2014J,Fail,glossary,877028,0,60,1
14053,281250,AAA,2013J,Fail,url,546883,0,60,1
27882,581129,AAA,2013J,Fail,oucontent,546669,0,120,7
25016,415969,AAA,2014J,Fail,oucontent,546670,1,60,4
28961,677281,AAA,2014J,Fail,oucontent,877095,0,60,4
15551,294655,AAA,2014J,Fail,oucontent,877088,0,60,11
38578,2342426,AAA,2013J,Fail,oucontent,546670,0,60,1
28460,606143,AAA,2013J,Fail,forumng,546645,0,60,21
23307,392756,AAA,2013J,Fail,subpage,546876,0,120,2
21190,364177,AAA,2013J,Fail,oucontent,546737,0,60,12
